T35,Net disbursements of official development assistance from donors,,,,,
840,United States of America,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,403",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,367",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"27,935",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"29,656",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"30,986",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"32,981",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"35,396",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"41,872",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.92,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
